Jahr,Kanton,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2012,Vaud,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Valais / Wallis,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,58,134,9,125,79.3
2012,Valais / Wallis,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,62,24,38,59.3
2012,Valais / Wallis,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Valais / Wallis,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Neuchâtel,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,33,95,22,73,56.1
2012,Neuchâtel,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,20,3,17,15
2012,Neuchâtel,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Neuchâtel,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Genève,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,77,203,52,151,153.2
2012,Genève,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,72,20,52,65.1
2012,Genève,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Genève,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Jura,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,18,44,4,40,22.8
2012,Jura,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2012,Jura,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Jura,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
